opcode_hex,signed_opcode,if_off,likely_handler,calls
0x8102,-32510,0x0466,"00046a:invoke-static v11, LscriptPages/game/q;->k(Ljava/lang/String;)V","00046a:invoke-static v11, LscriptPages/game/q;->k(Ljava/lang/String;)V"
0x8103,-32509,0x0478,"00047c:invoke-static v11, LscriptPages/game/k0;->Y(Ljava/lang/String;)V","00047c:invoke-static v11, LscriptPages/game/k0;->Y(Ljava/lang/String;)V"
0x8104,-32508,0x0430,"000434:invoke-static v11, Lo/a;->q7(Ljava/lang/String;)V","000434:invoke-static v11, Lo/a;->q7(Ljava/lang/String;)V || 00043a:invoke-static LscriptPages/game/a0;->T()Z || 000446:invoke-static LscriptPages/game/a0;->k0()V"
0x8110,-32496,0x048a,00048e:invoke-static LscriptPages/PageMain;->resetLiveCount()V,"00048e:invoke-static LscriptPages/PageMain;->resetLiveCount()V || 000494:invoke-static LscriptPages/PageMain;->flushLiveTime()V || 00049a:invoke-static LscriptPages/PageMain;->getStatus()I || 0004a6:invoke-static v11, LscriptAPI/baseAPI/BaseIO;->readByte(Ljava/lang/String;)B || 0004b2:invoke-static v11, LscriptPages/data/i;->b(Ljava/lang/String;)V || 0004b8:invoke-static v11, LscriptPages/data/c;->c(Ljava/lang/String;)V || 0004be:invoke-static v11, LscriptPages/game/i;->v(Ljava/lang/String;)V || 0004c4:invoke-static v11, v4, v4, LscriptPages/game/h0;->V(Ljava/lang/String; I Z)V"
0x8112,-32494,0x066e,"000672:invoke-static v11, LscriptPages/game/i;->x(Ljava/lang/String;)V","000672:invoke-static v11, LscriptPages/game/i;->x(Ljava/lang/String;)V"
0x8113,-32493,0x0680,"000694:invoke-static v11, LscriptPages/data/g;->a3(Ljava/lang/String;)V","000694:invoke-static v11, LscriptPages/data/g;->a3(Ljava/lang/String;)V"
0x8114,-32492,0x11b0,"0011b4:invoke-static v11, LscriptPages/game/h0;->a0(Ljava/lang/String;)V","0011b4:invoke-static v11, LscriptPages/game/h0;->a0(Ljava/lang/String;)V"
0x8116,-32490,0x11c2,"0011c6:invoke-static v11, LscriptPages/game/h0;->c0(Ljava/lang/String;)V","0011c6:invoke-static v11, LscriptPages/game/h0;->c0(Ljava/lang/String;)V"
0x8118,-32488,0x11d4,"0011d8:invoke-static v11, LscriptPages/game/h0;->h0(Ljava/lang/String;)V","0011d8:invoke-static v11, LscriptPages/game/h0;->h0(Ljava/lang/String;)V"
0x811a,-32486,0x11e6,"0011ea:invoke-static v11, LscriptPages/game/h0;->f0(Ljava/lang/String;)V","0011ea:invoke-static v11, LscriptPages/game/h0;->f0(Ljava/lang/String;)V"
0x811d,-32483,0x11f8,"0011fc:invoke-static v11, LscriptPages/game/h0;->Y(Ljava/lang/String;)V","0011fc:invoke-static v11, LscriptPages/game/h0;->Y(Ljava/lang/String;)V"
0x811f,-32481,0x121c,"001220:invoke-static v11, LscriptPages/game/h0;->d0(Ljava/lang/String;)V","001220:invoke-static v11, LscriptPages/game/h0;->d0(Ljava/lang/String;)V"
0x8120,-32480,0x0d24,"000d34:invoke-static v11, LscriptPages/data/i;->x(Ljava/lang/String;)V","000d28:invoke-static v11, LscriptAPI/baseAPI/BaseIO;->readByte(Ljava/lang/String;)B || 000d34:invoke-static v11, LscriptPages/data/i;->x(Ljava/lang/String;)V"
0x8122,-32478,0x0e58,"000e5c:invoke-static v11, LscriptPages/game/w;->T(Ljava/lang/String;)V","000e5c:invoke-static v11, LscriptPages/game/w;->T(Ljava/lang/String;)V"
0x8124,-32476,0x0e34,"000e38:invoke-static v11, LscriptPages/game/w;->R(Ljava/lang/String;)V","000e38:invoke-static v11, LscriptPages/game/w;->R(Ljava/lang/String;)V"
0x8126,-32474,0x0e46,"000e4a:invoke-static v11, LscriptPages/game/w;->b(Ljava/lang/String;)V","000e4a:invoke-static v11, LscriptPages/game/w;->b(Ljava/lang/String;)V"
0x8130,-32464,0x122e,"001232:invoke-static v11, LscriptPages/game/m0;->s(Ljava/lang/String;)V","001232:invoke-static v11, LscriptPages/game/m0;->s(Ljava/lang/String;)V"
0x8131,-32463,0x1240,"001244:invoke-static v11, Lo/a;->k7(Ljava/lang/String;)V","001244:invoke-static v11, Lo/a;->k7(Ljava/lang/String;)V"
0x8132,-32462,0x1252,"001256:invoke-static v11, LscriptPages/game/m0;->w(Ljava/lang/String;)V","001256:invoke-static v11, LscriptPages/game/m0;->w(Ljava/lang/String;)V"
0x8134,-32460,0x1276,"00127a:invoke-static v11, LscriptPages/game/m0;->u(Ljava/lang/String;)V","00127a:invoke-static v11, LscriptPages/game/m0;->u(Ljava/lang/String;)V"
0x8136,-32458,0x1288,"00128c:invoke-static v11, LscriptPages/game/m0;->y(Ljava/lang/String;)V","00128c:invoke-static v11, LscriptPages/game/m0;->y(Ljava/lang/String;)V"
0x8137,-32457,0x129a,"00129e:invoke-static v11, Lo/a;->n7(Ljava/lang/String;)V","00129e:invoke-static v11, Lo/a;->n7(Ljava/lang/String;)V"
0x8138,-32456,0x12ac,"0012b0:invoke-static v11, Lo/a;->N7(Ljava/lang/String;)V","0012b0:invoke-static v11, Lo/a;->N7(Ljava/lang/String;)V"
0x8139,-32455,0x1264,"001268:invoke-static v11, Lo/a;->m7(Ljava/lang/String;)V","001268:invoke-static v11, Lo/a;->m7(Ljava/lang/String;)V"
0x813a,-32454,0x12be,"0012c2:invoke-static v11, Lo/a;->o7(Ljava/lang/String;)V","0012c2:invoke-static v11, Lo/a;->o7(Ljava/lang/String;)V"
0x8140,-32448,0x06fc,"000700:invoke-static v11, LscriptPages/game/k0;->U(Ljava/lang/String;)V","000700:invoke-static v11, LscriptPages/game/k0;->U(Ljava/lang/String;)V"
0x8142,-32446,0x070e,"000712:invoke-static v11, LscriptPages/game/k0;->W(Ljava/lang/String;)V","000712:invoke-static v11, LscriptPages/game/k0;->W(Ljava/lang/String;)V"
0x8144,-32444,0x0720,"000724:invoke-static v11, LscriptPages/game/k0;->a0(Ljava/lang/String;)V","000724:invoke-static v11, LscriptPages/game/k0;->a0(Ljava/lang/String;)V"
